case_id,stage,input
AST02,P3,"A candidate built on the Rubin LSST alert stream reports supply for spectroscopic follow-up allocation as up to seven million alerts per night and 800,000 alerts on its first night. The design documents state every alert is one difference-image source associated to one DIAObject, about 200 supernova alerts per visit, 1000 visits per night and about one million supernovae per year. Report positive supply."
AST5-02,A4,"Two candidate-selection compositions are scored on the same test split, about 550 selections each drawn from 512 bright-transient sources and 1,489 other sources. Composition M reaches committed-set purity 0.930 and composition N 0.912, a difference of 0.018. Discordant selections are not published, so no paired sigma_d exists. An unpaired minimum detectable effect at alpha 0.05 and power 0.80 for two purities near 0.92 on 550 selections each is about 0.045. The authors state that even small boosts in purity are valuable and put M into production. Write the result statement."
AST03,P3,"A frozen BTS corpus of 11193 rows collapses to 11183 positional clusters at 1 arcsec, an overstatement of 0.089 percent. Two controls ran: all 9 same-name re-trigger duplicates (peaks within 60 days, separations up to 0.494 arcsec) joined, and no pair of distinctly named supernovae merged; all 11193 rows are accounted for. Dispose."
AST-P2-02,P2,"A recurrent classifier of low-resolution spectra is reported at 0.90 true-positive rate at under 1% false-positive rate, against 0.53 for template matching and 0.24 for an off-the-shelf convolutional tool. All three were scored on the set of 1,016 spectra used to choose the recurrent model's architecture and training epoch. A held-out set of 1,011 spectra exists. A stronger template tool scoring 87.6% accuracy on the same instrument was not run. The decision to be benchmarked is which transients receive a spectrum. Price the floor share."
AST3-04,D2,"A candidate item for the same task is built from a survey alert stream that is world-public on issuance. The object was first detected on 2026-07-03, after the last day of the latest published knowledge-cutoff month of every candidate subject whose cutoff is published, and one subject without a published cutoff has been removed from the subject set with the removal recorded. The item text contains only difference-image photometry and a neutral internal identifier. The label will come from a spectroscopic classification report filed after the decision is sealed, and the reporter is checked not to be an automated classifier. The exposure ruling is written. Dispose."
AST01,D3,"A positional cut sweep over 11193 ZTF Bright Transient Survey rows gives 11104 clusters at 60 arcsec rising to 11183 at 0.5 arcsec; no step gains more than 0.3 percent. The cut script, with saturation 0.05 and no separation column, prints CHOSEN at 30 arcsec. At 30 arcsec, 39 linked pairs are two supernovae carrying different IAU names. Adopt the cut."
ASTC-01,A3,"Two feature pipelines for real ZTF supernovae are compared: parametric light-curve fit features with redshift, and a variational-autoencoder representation with redshift. Both feed an identical gradient-boosted classifier, run on the same 6,045 supernovae that carry a redshift (16 of the 6,061 lack one and are excluded from both arms alike), using the same 10 stratified folds. The table reports each arm's multi-class F1 on those same objects and folds. Dispose on whether the comparison is admissible as paired on a common denominator."
AST-P2-03,P2,"A prior floor is reported on 7,843 classified catalogue objects, clustered to 7,830 groups, under grouped 5-fold cross-validation. The task is Ia versus non-Ia. AUC by feature tier: 0.967 with redshift and absolute magnitude; 0.868 with complete-light-curve photometry only; 0.798 at observed peak; 0.537 from Galactic latitude alone. A label permutation returns 0.486, and a before/after-2023 split returns 0.966 and 0.787 for the first and third tiers. It is labelled a prior estimate, not a built composition, and no ceiling is claimed from it. Dispose."
AST4-02,P3,"A tool-coverage count for a Rubin alert-stream benchmark lists 7 of 15 foundation-model or deep channels as covering Rubin inputs, citing their ELAsTiCC F1 scores. From the code: all 7 were trained only on ELAsTiCC or PLAsTiCC simulations; ATAT's and ORACLE's full models need host photo-z and redshift fields that the lsst.v11_1 alert schema lacks; ParSNIP's LSST model needs a redshift the packet does not carry. The report writes the axis as '7 of 15 channels verified on Rubin'. Report the axis."
ASTC-02,I3,A transient-alert classifier's served checkpoint is a pytorch_model.bin downloaded from its model hub. Its locally computed sha256 (c30f3202...4592) matches the large-file object id the hub reports for that revision. The loader exposes no separate revision string. Dispose on checkpoint identity.
AST3-03,P3,"A contamination-exposure axis for 7843 labeled transients is reported as zero exposed units because the catalog carries no classification date column and the name server refused unauthenticated access. An archived public copy of the catalog page from 2024-12-08 already displays the same label for 6166 of them, and no labeled object was discovered after 2026-06-30. Report the axis."
AST4-03,D4,"Ratification check (b) for a transient follow-up candidate. The inventory holds 16 predictors and 7 encoders, plus ParSNIP (predict_redshift_distribution returns a likelihood over an agent-chosen redshift grid; decode_spectra takes an agent-set latent, colour and redshift; pinned plasticc.pt sha256 a164aefe...) and sncosmo SALT3 (fit_lc returns chi2 under the SN Ia hypothesis at an agent-bounded redshift; pinned salt3-f22 sha256 c7de5343...). A reviewer argues the check fails because the deployed production pipeline (BTSbot plus human scanning) is only a predictor. Rule on check (b)."
AST3-01,D4,"A label-source slot for a supernova benchmark is about to record 7843 spectroscopic labels, the count of non-empty type fields in a public transient catalog of 11217 objects. The catalog documentation says the type column is the classification from the Transient Name Server. The methods papers state that since 2021-04-15 a recurrent neural network has classified SNe Ia from low-resolution spectra and reported them to the name server without human interaction, that some active-galaxy and dwarf-nova classifications are made from light curves alone, and that classifications first reported by other groups are reused. The catalog has no reporter, bot or report-date column. Rule."
AST5-01,A3,"Two follow-up selectors are compared. The automated selector is reported at committed-set purity 93.0% on a test split of 512 bright-transient sources and 1,489 other sources, purity defined as the fraction of selections that are bright extragalactic transients. Human scanners are reported at 96.7% triggering purity over a separate 41-night window, 316 of 327 triggered sources being extragalactic transients of any brightness; a later sentence in the same section gives the scanner figure as 95.6%. The summary reads '93% vs ~97%'. Report the comparison."
AST3-02,D2,"A candidate item asks which class a transient belongs to. The item text is assembled from the object's Transient Name Server classification report and its IAU designation, which carries the SN prefix that the name server assigns on spectroscopic supernova classification. In the catalog, 6994 of 7252 SN-prefixed objects carry a supernova label. The report is dated 2021, and the published knowledge cutoffs of every candidate subject with a cutoff fall between February 2025 and June 2026. Rule on admission."
AST4-01,I3,"A tool card for the ATAT transformer classifier was first drafted from its paper: dropout 0.2, learning rate 2e-4, each epoch encoded as (flux, flux error). Reading the pinned code (commit 0db532f2) finds no dropout set in any config, --E_lr 0.001 in the training JSON used by every README command, and a light-curve input dimension of 1 (flux only; the error channel is loaded but unused). A reviewer proposes rewriting the card fields to the code values and deleting the disagreement list, since the card now matches the code. Rule."
AST-P2-04,P2,"A floor for choosing which new transients receive a spectrum is stated as AUC 0.967. It uses the catalogue's peak absolute magnitude and redshift columns. The catalogue documentation defines absolute magnitude from the observed redshift, and redshift is present only for objects already classified. The same learner restricted to peak magnitude, rise time and Galactic latitude gives 0.798. Rule on the stated floor."
AST04,D2,"After counting, the temporal test side (peaks on or after 2026-02-24) holds 250 objects: 9 positives, 9 negatives and 232 with no classification. A reviewer proposes amending the frozen label map so that unclassified objects count as negatives, since the survey did not judge them worth a spectrum. Rule."
AST-P2-01,P2,"Two feature pipelines are retrained on identical data of 6,061 spectroscopically classified supernovae and fed to identical gradient-boosted classifiers under 10-fold cross-validation. Parametric light-curve fit features with redshift reach multi-class F1 0.71 +/- 0.02; a variational autoencoder representation with redshift reaches 0.71 +/- 0.03. For the binary Ia task the figures are 0.92 +/- 0.01 and 0.95 +/- 0.01. A proposal asks to build a benchmark around the learned-representation channel. Rule on headroom."
AST4-04,P3,"Two channels are proposed for a benchmark whose label base and governed decision are the ZTF Bright Transient Survey's spectroscopic follow-up. One is a contrastive light-curve encoder whose served checkpoint was fine-tuned on 4,702 BTS supernovae (its train_filenames.txt lists BTS objects). The other is an alert classifier whose positive and negative labels are BTS scanners' save and reject decisions. Items would be drawn from BTS objects classified before June 2024. The proposal mounts both channels on all items with no exposure ruling. Rule."
