case_id,expected_ruling,rule_it_rests_on
AST01,"REFUSE the cut: the curve does not bound one (saturation is trivially met at every step, separation absent) and the chosen cut fails the must-not-join control; bound the cut by controls or record UNDEMONSTRATED","D3: choose the cut by measurement from two signals, with sensitivity; tau.py REFUSE path; global refusal 2 (no check arms without both controls)"
AST02,"REFUSE alerts as supply: count at the distinct-object unit (DIAObject, then labelled object); doc-derived ~60 supernova alerts per supernova DIAObject (5900 percent overstatement); labelled positive supply at that unit is UNDEMONSTRATED from docs",P3 typical failure 'counted at the abundant unit'; raw beside clustered with overstatement percent; provenance population field
AST03,ACCEPT: cluster structure reported raw beside clustered with both controls run and full accounting; no refusal fires,P3 cluster structure axis; mirrors N09
AST04,REFUSE the amendment: unlabelled is not negative; changing the label map after a count invalidates the count and widens the negative definition in response to a low positive count; report 232 as unlabelled,D2 'a rule that changes after a count invalidates the count'; global refusal 9 (no widening after a low count); global refusal 10
AST-P2-01,"FIRE. Floor share 1.00 (multi-class) and 0.97 (binary) on matched data exceeds the 0.92 source-record signature; no headroom is demonstrated for the learned-representation channel on this task, so there is nothing to build toward on it. Do not proceed to I1 on this channel; close it or re-scope to a task where a matched gap is shown.",supply.md P2 closes when the floor already takes the ceiling; graph.md edge P2 -> I1; provenance adjudicator = strongest classical row
AST-P2-02,"FIRE. The pair cannot enter the floor share. (1) It is scored on the tuning set, not the held-out set. (2) The adjudicator is not the strongest classical tool, since the 87.6% template tool was not run. (3) The referent is post-spectroscopy classification, not the allocation decision. Report the pair as unmatched and state the floor share UNDEMONSTRATED.",provenance.md adjudicator and referent fields; SKILL.md global refusal 1; brief: flag data/metric mismatch
AST-P2-03,"DO NOT FIRE. Accept as a P2 prior. Every tier is reported with chance and controls, the grouping is disclosed raw beside clustered, and it is labelled not-I1 with no ceiling claimed. Record the tier gap as a finding.",supply.md P2 advances when the floor is stated with provenance; refusal 11 is not triggered; no widening or outcome filtering
AST-P2-04,"FIRE. Referent failure: the stated floor measures post-spectroscopy separability, not the allocation decision. Restate the floor at decision-time inputs (0.798 or lower, since peak and rise need the light curve through peak) and record 0.967 as a leakage upper bound.",provenance.md referent field ('measures something adjacent and available'); SKILL.md refusal 14 analogue for features derived from the answer's own measurement
AST3-01,"Refuse the figure 7843 as measured labels. Record class-level basis counts (6867 spectroscopic transient classes, 310 with a photometric criterion, 561 AGN/CV basis unresolved, 105 tentative) and mark the measured-versus-annotation split UNDEMONSTRATED, bounding model annotation at 0 to 3131 SN Ia labels; name TNS classification reports as the resolving source.",D4 label source is load-bearing: measured truth versus annotation derived from another model's output (discovery.md D4; manifest.md label distinction); refusal 13 (no curation from summary); rung 6b (slot cannot be derived -> UNDEMONSTRATED)
AST3-02,"Refuse admission. The answer is in the item's own source text (classification report) and in its identifier prefix, and the exposure key places the source years before every subject's cutoff; no exposure ruling can place it after.",Global refusal 14; D2 refuses an item whose answer appears in the text of its own source unless the exposure key places that source after every subject's cutoff and the ruling is written
AST3-03,"Refuse zero. Report the axis as FAIL on the determinable units: 6166 before every demonstrated cutoff, 0 after, 1677 unresolved (UNDEMONSTRATED, not zero); contamination disclosed, not solved.","Global refusal 11 (uncomputable recorded as UNDEMONSTRATED, never zero); P3 typical failure 'all units predate all subjects'; manifest.md check 'if every eligible item predates every subject, contamination is disclosed rather than solved'"
AST3-04,"Admit; do not fire the answer-in-own-source or contamination refusal. The source text holds no answer, the unit post-dates every retained subject's cutoff, and the exposure ruling is written. Record that host-galaxy catalogs and archival photometry for the position still predate the cutoffs and must be withheld or disclosed.",Refusal 14 exception clause (exposure key after every subject's cutoff and ruling written); must-not-fire discipline in replay.md
